player_id,name,position,team_id
1,Lisa Meadows,Defender,1
2,Scott Rivera,Goalkeeper,1
3,Elizabeth Martinez,Goalkeeper,1
4,Bianca Stone,Defender,1
5,Julie Rose,Forward,1
6,Stephanie Parsons,Midfielder,1
7,Daniel Ramirez MD,Goalkeeper,1
8,Jessica Stewart,Goalkeeper,1
9,William May,Goalkeeper,1
10,Allison Hull,Goalkeeper,1
11,Dustin Tucker,Defender,1
12,Mr. Lawrence Gonzalez,Defender,1
13,Misty Owens,Forward,1
14,Cheyenne Mitchell,Midfielder,1
15,Mr. Brandon Trujillo,Defender,1
16,Rebecca Cooper,Goalkeeper,2
17,Kristin Burke,Forward,2
18,Daniel Garner,Defender,2
19,Marcus Fry,Midfielder,2
20,Stacy Smith,Goalkeeper,2
21,Joseph Hernandez,Forward,2
22,Joshua Cruz,Midfielder,2
23,Jennifer Kirby,Midfielder,2
24,Darlene Pena,Defender,2
25,Ashley Flores,Midfielder,2
26,Michelle Hendrix,Forward,2
27,Mrs. Jennifer Sanchez DDS,Goalkeeper,2
28,Kellie Hartman,Midfielder,2
29,Charles Hicks,Forward,2
30,John Kramer,Forward,2
31,James Perkins,Goalkeeper,3
32,Desiree Graham,Midfielder,3
33,Victoria Perez,Midfielder,3
34,Paul Martin,Goalkeeper,3
35,Fernando Wilson,Forward,3
36,Alexander Tapia,Defender,3
37,Erika Johnson,Midfielder,3
38,Mary Wright,Defender,3
39,Joan Bradley,Goalkeeper,3
40,Elizabeth Montes,Defender,3
41,Zoe Mcdowell,Midfielder,3
42,Tammy Fernandez,Defender,3
43,Eric Green,Midfielder,3
44,James Jackson,Midfielder,3
45,Jessica Morris,Goalkeeper,3
46,Dustin Vargas,Defender,4
47,Jason Holmes,Midfielder,4
48,Damon Nelson,Midfielder,4
49,Mark Henry,Forward,4
50,Matthew Burke,Defender,4
51,Erica Dawson,Goalkeeper,4
52,Matthew Hill,Midfielder,4
53,Randy Sutton,Defender,4
54,Rebecca Miller,Goalkeeper,4
55,William Miller,Goalkeeper,4
56,Laura Stewart,Midfielder,4
57,Mr. Allen Clark,Forward,4
58,Marcus Morton,Forward,4
59,Kevin Riley,Forward,4
60,Shelby Palmer,Midfielder,4
61,Joe Mueller,Forward,5
62,Miss Jessica Hatfield,Defender,5
63,James Cervantes,Midfielder,5
64,Kelsey Costa,Forward,5
65,Emily Manning,Goalkeeper,5
66,Jeffrey Evans,Midfielder,5
67,Jeffrey Daniel,Defender,5
68,Heather Vega,Forward,5
69,Matthew Newman,Defender,5
70,Crystal Gross,Defender,5
71,Robert Fox,Forward,5
72,Laura Aguilar,Defender,5
73,Kimberly Brewer,Forward,5
74,Norma Powell,Defender,5
75,Mrs. Emily Brown,Forward,5
76,John Johnston,Goalkeeper,6
77,John Robinson,Forward,6
78,Daniel Morgan,Forward,6
79,Timothy Reid,Defender,6
80,Kylie Travis,Goalkeeper,6
81,Mr. Robert Farrell,Goalkeeper,6
82,Judy Martinez,Midfielder,6
83,Tina Mclaughlin,Defender,6
84,Erin Cruz,Forward,6
85,Jared Hawkins,Goalkeeper,6
86,Roy Norton,Midfielder,6
87,Aaron Mclaughlin,Forward,6
88,Amy Chase,Midfielder,6
89,Suzanne Adams,Midfielder,6
90,Michael King,Goalkeeper,6
91,Stephen Simon,Goalkeeper,7
92,Riley Reed,Defender,7
93,Angela Kidd,Goalkeeper,7
94,Matthew Clark,Goalkeeper,7
95,Maria Williams,Defender,7
96,Shirley Mitchell,Midfielder,7
97,Brandy Lewis,Defender,7
98,Sean Oconnor,Forward,7
99,Pam Morris,Midfielder,7
100,Mary Taylor,Goalkeeper,7
101,Chelsey Lewis,Forward,7
102,Travis Douglas,Midfielder,7
103,Lisa Greer,Defender,7
104,Norma Johnson,Goalkeeper,7
105,Joshua Villegas,Forward,7
106,Theresa Jordan,Forward,8
107,Frank Morgan,Goalkeeper,8
108,Terry Proctor,Goalkeeper,8
109,Kevin Branch Jr.,Defender,8
110,Randall Chen,Defender,8
111,Brittney Rivera,Midfielder,8
112,Kimberly Hodge,Forward,8
113,Hannah Hudson,Defender,8
114,Jonathan Jackson,Goalkeeper,8
115,Dylan Wade,Defender,8
116,Kevin Morrow,Midfielder,8
117,Kristen White,Goalkeeper,8
118,Ronald Holden,Forward,8
119,Margaret Fernandez,Defender,8
120,Travis Cherry DDS,Goalkeeper,8
121,Courtney Holmes,Forward,9
122,Eduardo Gonzalez,Forward,9
123,John Jones,Forward,9
124,Michael Rodriguez,Forward,9
125,Adam Mckee,Forward,9
126,Patricia Palmer,Defender,9
127,Christopher Mueller,Defender,9
128,Morgan Jones,Midfielder,9
129,Vernon Walters,Midfielder,9
130,Christopher Barton,Midfielder,9
131,Beth White,Defender,9
132,Jason Travis,Forward,9
133,Debbie Murphy,Forward,9
134,Troy Anderson,Midfielder,9
135,Christian Dunn,Midfielder,9
136,Brendan Hamilton,Defender,10
137,Paige Warren,Defender,10
138,Patrick Downs,Midfielder,10
139,Eric Flores,Midfielder,10
140,Angela Carter,Defender,10
141,Richard Clark,Forward,10
142,Michael Allen,Defender,10
143,Blake Wilson,Midfielder,10
144,Phillip Robinson,Forward,10
145,Catherine King,Midfielder,10
146,Beverly Miller,Midfielder,10
147,Alexander Grant,Forward,10
148,Justin French,Midfielder,10
149,Linda Mcgee,Midfielder,10
150,Jessica Maxwell,Midfielder,10
